"№ Д/О";"Наименование счета";"Номер счета";"Сумма комиссии"
"Дополнительный офис в г.Ишим";"ООО ""ИНВЕСТ-КВАРТ""";"40702810205020001159";"50"
"Дополнительный офис в г.Ишим";"ТЮМЕНЬЭНЕРГОСБЫТ - ФИЛИАЛ ОАО ""ЭК ""ВОСТОК""";"40702810205020001450";"10600"
"Дополнительный офис в г.Нижневартовск";"АО ""ГОРЭЛЕКТРОСЕТЬ""";"40702810208020000775";"11615"
"Дополнительный офис в г.Нижневартовск";"АО ""ГОРЭЛЕКТРОСЕТЬ""";"40702810208020000775";"13015"
"Дополнительный офис в г.Нижневартовск";"АО ""ГОРЭЛЕКТРОСЕТЬ""";"40702810208020000775";"13015"
"Дополнительный офис в г.Нижневартовск";"ЗАО ""ГОРОДСКОЕ ОСВЕЩЕНИЕ""";"40702810108020000778";"2275"
"Дополнительный офис в г.Нижневартовск";"ЗАО ""ГОРОДСКОЕ ОСВЕЩЕНИЕ""";"40702810108020000778";"3000"
"Дополнительный офис в г.Нижневартовск";"ЗАО ""ГОРОДСКОЕ ОСВЕЩЕНИЕ""";"40702810108020000778";"3000"
"Дополнительный офис в г.Нижневартовск";"ООО ""НИЖНЕВАРТОВСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""";"40702810408020000782";"7500"
"Дополнительный офис в г.Нижневартовск";"ООО ""НИЖНЕВАРТОВСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""";"40702810408020000782";"8275"
"Дополнительный офис в г.Нижневартовск";"ООО ""НИЖНЕВАРТОВСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""";"40702810408020000782";"8275"
"Дополнительный офис в г.Нижневартовск";"ООО ""АВТОУНИВЕРСАЛ- МОТОРС""";"40702810608020000809";"550"
"Дополнительный офис в г.Нижневартовск";"ООО ""АВТОУНИВЕРСАЛ- МОТОРС""";"40702810608020000809";"550"
"Дополнительный офис в г.Нижневартовск";"ООО ""АВТОУНИВЕРСАЛ- МОТОРС""";"40702810608020000809";"550"
